regime,perturbation,radius,hit_fraction,mean_hit_time,std_hit_time,mean_hit_step,std_hit_step
aggressive_triad_delete,add_chord,0,1.0,0.0,0.0,0.0,0.0
aggressive_triad_delete,add_chord,1,1.0,10.823034333333334,0.6097857250947519,40.0,0.0
aggressive_triad_delete,add_chord,2,1.0,14.730425,7.314051855695037,53.333333333333336,23.09401076758503
aggressive_triad_delete,add_chord,3,0.666667,31.967975000000003,1.544538999000029,120.0,0.0
aggressive_triad_delete,add_chord,4,0.0,,,,
aggressive_triad_delete,add_chord,5,0.0,,,,
aggressive_triad_delete,add_chord,6,0.0,,,,
aggressive_triad_delete,add_chord,7,0.0,,,,
aggressive_triad_delete,add_chord,8,0.0,,,,
aggressive_triad_delete,local_swap,0,1.0,0.0,0.0,0.0,0.0
aggressive_triad_delete,local_swap,1,1.0,10.823034333333334,0.6097857250947519,40.0,0.0
aggressive_triad_delete,local_swap,2,1.0,14.730425,7.314051855695037,53.333333333333336,23.09401076758503
aggressive_triad_delete,local_swap,3,0.333333,30.875821,0.0,120.0,0.0
aggressive_triad_delete,local_swap,4,0.0,,,,
aggressive_triad_delete,local_swap,5,0.0,,,,
aggressive_triad_delete,local_swap,6,0.0,,,,
aggressive_triad_delete,local_swap,7,0.0,,,,
aggressive_triad_delete,local_swap,8,0.0,,,,
closed_topological,add_chord,0,1.0,0.0,0.0,0.0,0.0
closed_topological,add_chord,1,1.0,14.730425,7.314051855695037,53.333333333333336,23.09401076758503
closed_topological,add_chord,2,1.0,14.730425,7.314051855695037,53.333333333333336,23.09401076758503
closed_topological,add_chord,3,1.0,31.137168000000003,9.915353416704166,120.0,40.0
closed_topological,add_chord,4,0.333333,43.713774,0.0,160.0,0.0
closed_topological,add_chord,5,0.0,,,,
closed_topological,add_chord,6,0.0,,,,
closed_topological,add_chord,7,0.0,,,,
closed_topological,add_chord,8,0.0,,,,
closed_topological,local_swap,0,1.0,0.0,0.0,0.0,0.0
closed_topological,local_swap,1,1.0,20.819946666666667,9.63334875929416,80.0,40.0
closed_topological,local_swap,2,1.0,20.819946666666667,9.63334875929416,80.0,40.0
closed_topological,local_swap,3,1.0,31.137168000000003,9.915353416704166,120.0,40.0
closed_topological,local_swap,4,0.333333,43.713774,0.0,160.0,0.0
closed_topological,local_swap,5,0.0,,,,
closed_topological,local_swap,6,0.0,,,,
closed_topological,local_swap,7,0.0,,,,
closed_topological,local_swap,8,0.0,,,,
open_topological,add_chord,0,1.0,0.0,0.0,0.0,0.0
open_topological,add_chord,1,1.0,10.823034333333334,0.6097857250947519,40.0,0.0
open_topological,add_chord,2,1.0,10.823034333333334,0.6097857250947519,40.0,0.0
open_topological,add_chord,3,0.666667,21.644617000000004,16.143971891832816,80.0,56.568542494923804
open_topological,add_chord,4,0.333333,10.229105,0.0,40.0,0.0
open_topological,add_chord,5,0.0,,,,
open_topological,add_chord,6,0.0,,,,
open_topological,add_chord,7,0.0,,,,
open_topological,add_chord,8,0.0,,,,
open_topological,local_swap,0,1.0,0.0,0.0,0.0,0.0
open_topological,local_swap,1,1.0,10.823034333333334,0.6097857250947519,40.0,0.0
open_topological,local_swap,2,1.0,10.823034333333334,0.6097857250947519,40.0,0.0
open_topological,local_swap,3,0.666667,21.644617000000004,16.143971891832816,80.0,56.568542494923804
open_topological,local_swap,4,0.333333,10.229105,0.0,40.0,0.0
open_topological,local_swap,5,0.0,,,,
open_topological,local_swap,6,0.0,,,,
open_topological,local_swap,7,0.0,,,,
open_topological,local_swap,8,0.0,,,,
