gate,status,observed,required,decision
effect_blind_and_proposal_scope_independence,pass,spectrum=0;effect=0;proposal_forbidden=0,0;0;0,continue
formal_chain_count,pass,24/24,24/24,continue
exact_reverse_involution_balance_integrity,pass,554/554,all_retained,continue
finite_compound_large_move_exercise,pass,24/24,24/24;retained>=4;accepted>=2;net>=6,continue
finite_movement,pass,24/24,24/24,continue
endpoint_integrity,pass,24/24,24/24,continue
representation_covariance,pass,12/12,12/12,continue
resource_bound,pass,24/24;max=17.250864s,24/24;each<=60.0s,continue
per_source_qualification,pass,6/6,6/6,matched_work_next
v17j_overall,v17j_anchor_independent_compound_cycle_qualified,effect_blind=1;chains=24;reverse=554/554;exercise=24/24;movement=24/24;representation=12/12;sources=6/6,1;24;all;24;24;12;6,v17j_anchor_independent_compound_cycle_qualified
